#, movie, href, total gross, opening, opening daily avg, release date
"113", "Lucky Number Slevin (MGM / Weinstein)", "/statistics/movies/lucky-number-slevin-2006", "$22,495,861", "$7,032,033", "$2,344,011", "Apr 07, 2006"
"114", "Waist Deep (Rogue)", "/statistics/movies/waist-deep-2006", "$21,344,787", "$9,404,180", "$3,134,727", "Jun 23, 2006"
"115", "ATL (Warner Bros.)", "/statistics/movies/atl-2006", "$21,170,638", "$11,553,820", "$3,851,273", "Mar 31, 2006"
"116", "Flicka (Fox)", "/statistics/movies/flicka-2006", "$21,000,705", "$7,703,788", "$2,567,929", "Oct 20, 2006"
"117", "A Prairie Home Companion (Picturehouse)", "/statistics/movies/a-prairie-home-companion-2006", "$20,342,785", "$4,566,741", "$1,522,247", "Jun 09, 2006"
"118", "Pulse (2006) (Weinstein / Dimension)", "/statistics/movies/pulse-2006", "$20,264,168", "$8,205,782", "$2,735,261", "Aug 11, 2006"
"119", "Beerfest (Warner Bros.)", "/statistics/movies/beerfest-2006", "$19,185,068", "$7,031,115", "$2,343,705", "Aug 25, 2006"
"120", "Akeelah and the Bee (Lionsgate)", "/statistics/movies/akeelah-and-the-bee-2006", "$18,848,794", "$6,012,106", "$2,004,035", "Apr 28, 2006"
"121", "The Marine (Fox)", "/statistics/movies/the-marine-2006", "$18,844,302", "$7,139,578", "$2,379,859", "Oct 13, 2006"
"122", "Aquamarine (Fox)", "/statistics/movies/aquamarine-2006", "$18,597,015", "$7,482,764", "$2,494,255", "Mar 03, 2006"
"123", "Ultraviolet (Sony / Screen Gems)", "/statistics/movies/ultraviolet-2006", "$18,535,514", "$9,065,248", "$3,021,749", "Mar 03, 2006"
"124", "School for Scoundrels (2006) (MGM / Weinstein)", "/statistics/movies/school-for-scoundrels-2006", "$17,807,230", "$8,603,092", "$2,867,697", "Sep 29, 2006"
"125", "The Last King of Scotland (Fox Searchlight)", "/statistics/movies/the-last-king-of-scotland-2006", "$17,606,299", "$142,286", "$47,429", "Sep 27, 2006"
"126", "Notes on a Scandal (Fox Searchlight)", "/statistics/movies/notes-on-a-scandal-2006", "$17,510,090", "$413,552", "$137,851", "Dec 25, 2006"
"127", "Just My Luck (Fox)", "/statistics/movies/just-my-luck-2006", "$17,326,003", "$5,692,211", "$1,897,404", "May 12, 2006"
"128", "Annapolis (Disney)", "/statistics/movies/annapolis-2006", "$17,127,123", "$7,682,029", "$2,560,676", "Jan 27, 2006"
"129", "Unaccompanied Minors (Warner Bros.)", "/statistics/movies/unaccompanied-minors-2006", "$16,655,813", "$5,815,538", "$1,938,513", "Dec 08, 2006"
