#,movie,href,total gross,opening,opening daily avg,release date
"105","Sparkle (2012) (Sony / TriStar)","/statistics/movies/sparkle-2012-2012","$24,397,469","$11,643,342","$3,881,114","Aug 17, 2012"
"106","Premium Rush (Sony / Columbia)","/statistics/movies/premium-rush-2011","$20,275,446","$6,030,164","$2,010,055","Aug 24, 2012"
"107","Big Miracle (Universal)","/statistics/movies/everybody-loves-whales-2012","$20,157,300","$7,760,205","$2,586,735","Feb 03, 2012"
"108","The Secret World of Arrietty (Disney)","/statistics/movies/arrietty-2012","$19,202,743","$6,446,395","$2,148,798","Feb 17, 2012"
"109","The Impossible (Lionsgate / Summit)","/statistics/movies/the-impossible-2012","$19,019,882","$143,818","$47,939","Dec 21, 2012"
"110","Haywire (Relativity Media)","/statistics/movies/haywire-2012","$18,942,396","$8,425,370","$2,808,457","Jan 20, 2012"
"111","Man on a Ledge (Lionsgate)","/statistics/movies/man-on-a-ledge-2012","$18,620,000","$8,001,932","$2,667,311","Jan 27, 2012"
"112","A Thousand Words (Paramount)","/statistics/movies/a-thousand-words-2012","$18,450,127","$6,176,280","$2,058,760","Mar 09, 2012"
"113","Chernobyl Diaries (Warner Bros.)","/statistics/movies/chernobyl-diaries-2012","$18,119,640","$7,955,307","$2,651,769","May 25, 2012"
"114","The Perks of Being A Wallflower (Lionsgate / Summit)","/statistics/movies/the-perks-of-being-a-wallflower-2012","$17,742,948","$228,359","$76,120","Sep 21, 2012"
"115","Silent Hill: Revelation 3D (Open Road)","/statistics/movies/silent-hill-revelation-3d-2012","$17,529,157","$8,023,036","$2,674,345","Oct 26, 2012"
"116","Wanderlust (Universal)","/statistics/movies/wanderlust-2011","$17,288,155","$6,526,650","$2,175,550","Feb 24, 2012"
"117","Safe (2012) (Lionsgate)","/statistics/movies/safe-2011","$17,142,080","$7,892,539","$2,630,846","Apr 27, 2012"
"118","To Rome with Love (Sony Pictures Classics)","/statistics/movies/nero-fiddled-2012","$16,685,867","$361,359","$120,453","Jun 22, 2012"
"119","The Master (Weinstein Company)","/statistics/movies/the-master-2012","$16,377,274","$736,311","$245,437","Sep 14, 2012"
"120","The Raven (Relativity Media)","/statistics/movies/untitled-raven-project-2012","$16,008,272","$7,289,642","$2,429,881","Apr 27, 2012"
"121","The Man With the Iron Fists (Universal)","/statistics/movies/the-man-with-the-iron-fists-2012","$15,634,090","$7,910,980","$2,636,993","Nov 02, 2012"
"122","Killing Them Softly (Weinstein Company)","/statistics/movies/cogans-trade-2012","$15,026,056","$6,812,900","$2,270,967","Nov 30, 2012"
"123","Seven Psychopaths (CBS Films)","/statistics/movies/seven-psychopaths-2012","$15,024,049","$4,174,915","$1,391,638","Oct 12, 2012"
"124","To the Arctic 3D (Warner Bros. / IMAX)","/statistics/movies/to-the-arctic-3d-2012","$14,355,035","$270,228","$90,076","Apr 20, 2012"
"125","Lockout (Open Road)","/statistics/movies/lockout-2012","$14,326,865","$6,231,836","$2,077,279","Apr 13, 2012"
"126","Hit and Run (Open Road)","/statistics/movies/outrun-2012","$13,749,300","$4,526,222","$1,508,741","Aug 22, 2012"
"127","Dredd 3D (Lionsgate)","/statistics/movies/dredd-2012","$13,414,714","$6,278,491","$2,092,830","Sep 21, 2012"
"128","The Intouchables (Weinstein Company)","/statistics/movies/intouchables-2012","$13,185,153","$103,507","$34,502","May 25, 2012"
"129","Playing For Keeps (2012) (FilmDistrict)","/statistics/movies/playing-the-field-2012","$13,103,272","$5,750,288","$1,916,763","Dec 07, 2012"
"130","Anna Karenina (2012) (Focus)","/statistics/movies/anna-karenina-2012-2012","$12,816,367","$320,690","$106,897","Nov 16, 2012"
"131","Beasts of the Southern Wild (Fox Searchlight)","/statistics/movies/beasts-of-the-southern-wild-2012","$12,795,746","$169,702","$56,567","Jun 27, 2012"
"132","Silent House (2012) (Open Road)","/statistics/movies/silent-house-2012","$12,754,783","$6,661,234","$2,220,411","Mar 09, 2012"
"133","Cirque du Soleil: Worlds Away (Paramount)","/statistics/movies/cirque-du-soleil-worlds-away-2012","$12,512,862","$2,162,993","$720,998","Dec 21, 2012"
"134","People Like Us (Disney / DreamWorks)","/statistics/movies/people-like-us-2012","$12,434,778","$4,255,423","$1,418,474","Jun 29, 2012"
"135","Gone (Summit)","/statistics/movies/gone-2012","$11,682,205","$4,770,360","$1,590,120","Feb 24, 2012"
"136","The Words (CBS Films)","/statistics/movies/the-words-2012","$11,494,838","$4,750,894","$1,583,631","Sep 07, 2012"
"137","Fun Size (Paramount)","/statistics/movies/fun-size-2012","$9,409,538","$4,101,017","$1,367,006","Oct 26, 2012"
"138","Bernie (Millennium Entertainment)","/statistics/movies/bernie-2012","$9,206,469","$85,805","$28,602","Apr 27, 2012"
"139","Salmon Fishing in the Yemen (CBS Films)","/statistics/movies/salmon-fishing-in-the-yemen-2011","$9,047,980","$225,894","$75,298","Mar 09, 2012"
"140","Arbitrage (Roadside Attractions)","/statistics/movies/arbitrage-2012","$7,919,574","$2,002,165","$667,388","Sep 14, 2012"
"141","Promised Land (2012) (Focus)","/statistics/movies/promised-land-2012-2012","$7,597,898","$173,915","$57,972","Dec 28, 2012"
"142","Friends With Kids (Roadside Attractions)","/statistics/movies/friends-with-kids-2011","$7,251,073","$2,019,083","$673,028","Mar 09, 2012"
"143","Seeking a Friend for the End of the World (Focus)","/statistics/movies/seeking-friend-for-the-end-of-the-world-2012","$7,078,738","$3,822,803","$1,274,268","Jun 22, 2012"
"144","The Collection (LD Entertainment)","/statistics/movies/the-collection-2012","$6,842,058","$3,104,269","$1,034,756","Nov 30, 2012"
"145","Amour (Sony Pictures Classics)","/statistics/movies/amour-2012","$6,739,492","$68,266","$22,755","Dec 19, 2012"
"146","Hyde Park on Hudson (Focus)","/statistics/movies/hyde-park-on-hudson-2012","$6,376,145","$81,362","$27,121","Dec 07, 2012"
"147","Hitchcock (Fox Searchlight)","/statistics/movies/hitchcock-2012","$6,008,677","$287,715","$95,905","Nov 23, 2012"
"148","Chasing Mavericks (Fox)","/statistics/movies/of-men-and-mavericks-2012","$6,002,756","$2,268,274","$756,091","Oct 26, 2012"
"149","The Sessions (Fox Searchlight)","/statistics/movies/six-sessions-2012","$6,002,451","$113,467","$37,822","Oct 19, 2012"
"150","Casa de mi Padre (Lionsgate / Pantelion)","/statistics/movies/casa-de-mi-padre-2012","$5,909,483","$2,287,239","$762,413","Mar 16, 2012"
"151","For Greater Glory (ARC Entertainment)","/statistics/movies/greater-glory-2012","$5,672,846","$1,885,608","$628,536","Jun 01, 2012"
"152","Won't Back Down (Fox)","/statistics/movies/learning-to-fly-2012-2012","$5,310,554","$2,603,370","$867,790","Sep 28, 2012"
